       0.1064210367E+0006         -0.2112186847E+0000          0.2061469600E+0000
       0.1097961637E+0006         -0.1743574528E+0000         -0.1957149213E+0000
       0.1174274956E+0006         -0.1448139218E+0000          0.8140865457E-0001
       0.1189319456E+0006         -0.6780985717E-0001         -0.1424108701E+0000
       0.1214675927E+0006         -0.1036701236E+0000          0.3651299433E-0001
       0.1227122105E+0006         -0.3542308034E-0001         -0.1018263066E+0000
       0.1234207383E+0006         -0.7435653490E-0001          0.3255477231E-0001
       0.1244085524E+0006          0.5728037477E-0001          0.3330827894E-0001
       0.1247308391E+0006         -0.2655691545E-0001          0.7107350004E-0001
       0.1251324370E+0006          0.4754691796E-0001          0.1907435584E-0001
       0.1255539939E+0006         -0.3973201547E-0001          0.1714334536E-0001
       0.1257958435E+0006          0.2177365351E-0001          0.5029378427E-0001
       0.1259039326E+0006         -0.2930564320E-0001          0.3083552179E-0001
       0.1261041750E+0006          0.2907676839E-0001          0.1103225309E-0001
       0.1262679458E+0006         -0.2555813426E-0001          0.9178035121E-0002
       0.1263937159E+0006          0.2228434278E-0001          0.1264009795E-0001
       0.1264827830E+0006         -0.1693937034E-0001          0.2938795552E-0001
