       0.1201890257E+0006         -0.8703459601E-0001         -0.9075561283E-0001          0.8244476228E-0003
       0.1202315525E+0006         -0.9029907543E-0001          0.8659963083E-0001          0.4520191993E-0002
       0.1216530064E+0006          0.3469775804E-0002         -0.2323956128E-0002          0.1252116440E+0000
       0.1226865456E+0006         -0.6133317999E-0001         -0.6575958839E-0001          0.5326473666E-0003
       0.1227089659E+0006          0.6547761374E-0001         -0.6107810148E-0001         -0.3342356819E-0002
       0.1240413629E+0006          0.4797217756E-0001          0.4867237682E-0001          0.2475372266E-0002
       0.1240517801E+0006         -0.4764999244E-0001          0.4739903512E-0001         -0.1536354772E-0001
       0.1241370181E+0006          0.9370393889E-0002         -0.6704326949E-0002         -0.8829000686E-0001
       0.1248573936E+0006         -0.3674499575E-0001         -0.3987152036E-0001         -0.2539416365E-0003
       0.1248654817E+0006         -0.3975219558E-0001          0.3663837596E-0001         -0.1815695610E-0002
       0.1253864513E+0006         -0.3047517385E-0001         -0.3223075480E-0001          0.7804452031E-0003
       0.1253913222E+0006         -0.3203991815E-0001          0.3034669448E-0001          0.5454159712E-0002
       0.1254829426E+0006          0.2939826232E-0002         -0.2077902548E-0002          0.6795017828E-0001
       0.1257488928E+0006         -0.2502136095E-0001         -0.2747599243E-0001          0.2091503012E-0003
       0.1257527768E+0006          0.2740697566E-0001         -0.2496197779E-0001         -0.1603550634E-0002
       0.1260079582E+0006         -0.2143297191E-0001         -0.2338298930E-0001         -0.1456113879E-0003
       0.1260107024E+0006          0.2333449425E-0001         -0.2139007182E-0001          0.1116094984E-0002
       0.1261995283E+0006         -0.1869879501E-0001         -0.2014637310E-0001          0.2883847160E-0003
       0.1262014843E+0006          0.2009559670E-0001         -0.1865883501E-0001         -0.2155105087E-0002
       0.1262948040E+0006         -0.1599450775E-0002          0.1121443553E-0002         -0.5395174655E-0001
       0.1263451692E+0006         -0.1602398485E-0001         -0.1802501830E-0001          0.3739774851E-0003
       0.1263469428E+0006         -0.1795547799E-0001          0.1597550857E-0001          0.3171303829E-0002
       0.1264584598E+0006         -0.1435707895E-0001         -0.1584999523E-0001         -0.1180790777E-0003
       0.1264597508E+0006         -0.1582316054E-0001          0.1433388759E-0001         -0.9571451461E-0003
